t,field,value,color,status,reason,raw
31.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
31.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
31.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
32.0,SPEED,13.0,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
32.0,POWER,114,NEUTRAL,OK,power_present,{age_s=0.0}
32.0,HR,105,NEUTRAL,OK,hr_present,{age_s=0.0}
32.0,CADENCE,57,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
32.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=-0.5, grade_display=-0.5}"
32.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
32.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
32.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
33.0,SPEED,13.8,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
33.0,POWER,114,NEUTRAL,OK,power_present,{age_s=0.0}
33.0,HR,105,NEUTRAL,OK,hr_present,{age_s=0.0}
33.0,CADENCE,57,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
33.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=-0.5, grade_display=-0.5}"
33.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
33.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
33.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
34.0,SPEED,14.1,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
34.0,POWER,55,NEUTRAL,OK,power_present,{age_s=0.0}
34.0,HR,105,NEUTRAL,OK,hr_present,{age_s=0.0}
34.0,CADENCE,22,AMBER,OK,outside_preferred_band,{age_s=0.0}
34.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=-0.5, grade_display=-0.5}"
34.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
34.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
34.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
35.0,SPEED,12.8,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
35.0,POWER,88,NEUTRAL,OK,power_present,{age_s=0.0}
35.0,HR,105,NEUTRAL,OK,hr_present,{age_s=0.0}
35.0,CADENCE,38,AMBER,OK,outside_preferred_band,{age_s=0.0}
35.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=-0.5, grade_display=-0.5}"
35.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
35.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
35.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
36.0,SPEED,12.4,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
36.0,POWER,88,NEUTRAL,OK,power_present,{age_s=0.0}
36.0,HR,105,NEUTRAL,OK,hr_present,{age_s=0.0}
36.0,CADENCE,38,AMBER,OK,outside_preferred_band,{age_s=0.0}
36.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=-0.5, grade_display=-0.5}"
36.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
36.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
36.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
37.0,SPEED,14.2,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
37.0,POWER,91,NEUTRAL,OK,power_present,{age_s=0.0}
37.0,HR,104,NEUTRAL,OK,hr_present,{age_s=0.0}
37.0,CADENCE,53,AMBER,OK,outside_preferred_band,{age_s=0.0}
37.0,GRADE,-0.5,GRAY,STALE,grade_stale,"{age_s=6.0, grade_display=-0.5}"
37.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
37.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
37.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
38.0,SPEED,14.5,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
38.0,POWER,98,NEUTRAL,OK,power_present,{age_s=0.0}
38.0,HR,104,NEUTRAL,OK,hr_present,{age_s=0.0}
38.0,CADENCE,59,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
38.0,GRADE,-0.5,GRAY,STALE,grade_stale,"{age_s=7.0, grade_display=-0.5}"
38.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
38.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
38.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
39.0,SPEED,14.1,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
39.0,POWER,99,NEUTRAL,OK,power_present,{age_s=0.0}
39.0,HR,100,NEUTRAL,OK,hr_present,{age_s=0.0}
39.0,CADENCE,61,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
39.0,GRADE,-0.5,GRAY,STALE,grade_stale,"{age_s=8.0, grade_display=-0.5}"
39.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
39.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
39.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
40.0,SPEED,14.0,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
40.0,POWER,133,NEUTRAL,OK,power_present,{age_s=0.0}
40.0,HR,98,NEUTRAL,OK,hr_present,{age_s=0.0}
40.0,CADENCE,60,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
40.0,GRADE,-0.5,GRAY,STALE,grade_stale,"{age_s=9.0, grade_display=-0.5}"
40.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
40.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
40.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
41.0,SPEED,13.3,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
41.0,POWER,174,NEUTRAL,OK,power_present,{age_s=0.0}
41.0,HR,97,NEUTRAL,OK,hr_present,{age_s=0.0}
41.0,CADENCE,60,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
41.0,GRADE,-0.5,GRAY,STALE,grade_stale,"{age_s=10.0, grade_display=-0.5}"
41.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
